DATE,PNRGINDEXM
2006-07-01,166.924800371819
2006-08-01,167.897492655972
2006-09-01,145.649770471867
2006-10-01,140.295031138321
2006-11-01,144.643440097302
2006-12-01,147.260667183159
2007-01-01,134.713040781543
2007-02-01,145.026825191246
2007-03-01,148.29818701874
2007-04-01,156.852961131099
2007-05-01,157.716476638741
2007-06-01,162.327162647887
2007-07-01,168.822275060673
2007-08-01,164.379861177812
2007-09-01,174.95269920475
2007-10-01,189.041557010224
2007-11-01,207.659453538207
2007-12-01,206.532852366502
2008-01-01,212.95256526713
2008-02-01,221.207409668071
2008-03-01,236.794999578762
2008-04-01,253.573936320607
2008-05-01,281.920824527933
2008-06-01,303.745294402926
2008-07-01,308.945845079838
2008-08-01,268.942999904535
2008-09-01,241.157795731331
2008-10-01,188.568081326526
2008-11-01,150.200782451237
2008-12-01,122.672243012022
2009-01-01,125.378276708955
2009-02-01,117.722420760494
2009-03-01,118.843901173609
2009-04-01,119.20519973597
2009-05-01,133.97993538685
2009-06-01,152.982953218604
2009-07-01,143.464313930351
2009-08-01,154.867717956959
2009-09-01,148.563669439578
2009-10-01,161.88819495353
2009-11-01,167.28240524265
2009-12-01,169.081397747495
2010-01-01,178.41947067921
2010-02-01,172.419006521773
2010-03-01,177.043925116846
2010-04-01,185.834204822904
2010-05-01,171.381834659046
2010-06-01,171.550033939702
2010-07-01,170.909086633409
2010-08-01,172.006819754741
2010-09-01,171.978027456354
2010-10-01,181.749423910817
2010-11-01,188.430479797526
2010-12-01,200.596439773715
2011-01-01,208.932671985744
2011-02-01,216.000528575678
2011-03-01,233.841821904619
2011-04-01,250.730026968411
2011-05-01,238.786784479992
2011-06-01,236.265966676199
2011-07-01,241.704074238477
2011-08-01,229.029431380039
2011-09-01,229.291360431155
2011-10-01,227.72318632522
2011-11-01,234.303517671319
2011-12-01,231.531830401329
2012-01-01,234.561993004392
2012-02-01,242.492106949393
2012-03-01,251.477586578673
2012-04-01,244.602440376174
2012-05-01,226.811417850343
2012-06-01,203.84606219857
2012-07-01,213.550184112094
2012-08-01,227.100652030527
2012-09-01,228.604174161606
2012-10-01,223.582281780183
2012-11-01,220.239028555248
2012-12-01,220.583781936685
2013-01-01,226.609992657721
2013-02-01,230.718606428011
2013-03-01,224.634418455802
2013-04-01,219.154640961809
2013-05-01,218.779877661479
2013-06-01,218.338094747412
2013-07-01,225.475015758846
2013-08-01,230.587951532211
2013-09-01,232.537593803913
2013-10-01,227.898978145242
2013-11-01,223.872487853245
2013-12-01,231.95105343407
2014-01-01,227.618249803187
2014-02-01,233.574505017621
2014-03-01,227.200770414853
2014-04-01,229.025754826052
2014-05-01,229.448481461139
2014-06-01,233.603396624537
2014-07-01,225.162905183716
2014-08-01,216.431550059979
2014-09-01,209.128667563681
2014-10-01,191.532205264236
2014-11-01,177.382124804231
2014-12-01,147.739732100836
2015-01-01,122.036323802349
2015-02-01,133.647404465726
2015-03-01,128.307725292163
2015-04-01,130.528800262361
2015-05-01,137.483493678026
2015-06-01,134.156901538063
2015-07-01,122.938901012481
2015-08-01,109.227291781617
2015-09-01,109.025265965182
2015-10-01,108.899219049416
2015-11-01,101.266141873884
2015-12-01,90.2679848842885
2016-01-01,77.6354685322573
2016-02-01,77.7887428262812
2016-03-01,87.6656184920498
2016-04-01,92.5437288917509
2016-05-01,101.483666634806
2016-06-01,106.692990860292
2016-07-01,101.772659015326
2016-08-01,103.376309915595
2016-09-01,104.633556078718
2016-10-01,115.260960292251
2016-11-01,108.444292816484
2016-12-01,122.702005644189
2017-01-01,127.826696489188
2017-02-01,125.617606834217
2017-03-01,115.772553832653
2017-04-01,119.225759330065
2017-05-01,114.46223948284
2017-06-01,107.906362641047
2017-07-01,111.27206475027
2017-08-01,117.624086183498
2017-09-01,125.572515892763
2017-10-01,129.925088291476
2017-11-01,140.765423018447
2017-12-01,143.637979173419
2018-01-01,152.812740382656
2018-02-01,147.221807973306
2018-03-01,147.282110157735
2018-04-01,151.756233761497
2018-05-01,162.898254687632
2018-06-01,163.175141815922
2018-07-01,164.473377966392
2018-08-01,163.167846533993
2018-09-01,172.605783575972
2018-10-01,172.287544875428
2018-11-01,148.043063047674
2018-12-01,132.6931816386
2019-01-01,132.837897195512
2019-02-01,135.187803319121
2019-03-01,137.135341779574
2019-04-01,142.678897730099
2019-05-01,137.663088499814
2019-06-01,122.075818909474
2019-07-01,125.732460316235
2019-08-01,117.138291954721
2019-09-01,122.437301774977
2019-10-01,119.797167150738
2019-11-01,127.631461684005
2019-12-01,131.104220041825
2020-01-01,126.142073238145
2020-02-01,109.289359074945
2020-03-01,72.9941675035191
2020-04-01,55.8905124412157
2020-05-01,68.0114992942952
2020-06-01,82.3975635948022
2020-07-01,86.4165473565575
2020-08-01,93.2271857476264
2020-09-01,91.2975553598975
2020-10-01,95.4028571823368
2020-11-01,100.89541152644
2020-12-01,118.493979515052
2021-01-01,138.446272490708
2021-02-01,137.664908345644
2021-03-01,142.136548338262
2021-04-01,143.193714211993
2021-05-01,154.557474298451
2021-06-01,170.895141089492
2021-07-01,181.349916097512
2021-08-01,183.806514750323
2021-09-01,212.879064204438
2021-10-01,256.460754221011
2021-11-01,235.683331646882
2021-12-01,239.991032497251
2022-01-01,241.377378261931
2022-02-01,260.048362621765
2022-03-01,331.78375933108
2022-04-01,300.53317790586
2022-05-01,306.674979216909
2022-06-01,328.123480404175
2022-07-01,343.809997418561
2022-08-01,376.412082569145
2022-09-01,330.149585913898
2022-10-01,259.858676189934
2022-11-01,256.859738716857
2022-12-01,258.501791014275
2023-01-01,223.272585045353
