date,m1_supply,gdp,fed_funds_rate,fed_bal,gov_debt,velocity_money
2003-01,1227.3,11174.129,1.24,732202.0,6460776.0,9.104643526440155
2003-02,1238.2,11220.341333333334,1.26,720885.0,6530557.666666667,9.061816615517149
2003-03,1239.3,11266.553666666667,1.25,723792.0,6600339.333333333,9.09106242771457
2003-04,1250.0,11312.766,1.26,733626.0,6670121.0,9.050212799999999
2003-05,1268.8,11397.400333333333,1.26,734390.0,6707854.0,8.982818673812526
2003-06,1281.0,11482.034666666666,1.22,732753.0,6745587.0,8.963336976320583
2003-07,1287.5,11566.669,1.01,741370.0,6783320.0,8.983820582524272
2003-08,1296.4,11635.190666666667,1.03,735147.0,6854868.0,8.975000514244575
2003-09,1297.2,11703.712333333333,1.01,751353.0,6926416.0,9.022288261897419
2003-10,1297.8,11772.234,1.01,754446.0,6997964.0,9.070915395284327
2003-11,1299.1,11822.638333333334,1.0,745371.0,7042332.0,9.100637620917047
2003-12,1306.2,11873.042666666666,0.98,751054.0,7086700.0,9.089758587250548
2004-01,1306.0,11923.447,1.0,756832.0,7131068.0,9.129745022970903
2004-02,1321.4,11986.569666666666,1.01,755445.0,7178823.666666667,9.071113717774077
2004-03,1328.7,12049.692333333334,1.0,756199.0,7226579.333333333,9.068783271869748
2004-04,1332.8,12112.815,1.0,754869.0,7274335.0,9.088246548619448
2004-05,1333.3,12176.979000000001,1.0,759949.0,7309241.0,9.132962574064353
2004-06,1342.7,12241.143,1.03,764893.0,7344147.0,9.116811648171595
2004-07,1340.8,12305.307,1.26,778684.0,7379053.0,9.177585769689738
2004-08,1354.3,12379.276,1.43,772807.0,7451416.333333333,9.140719190725836
2004-09,1362.5,12453.245,1.61,786094.0,7523779.666666667,9.13999633027523
2004-10,1362.3,12527.214,1.76,782750.0,7596143.0,9.195635322616164
2004-11,1374.2,12607.238,1.93,791585.0,7656408.333333333,9.174238102168534
2004-12,1376.0,12687.262,2.16,807973.0,7716673.666666667,9.220393895348838
2005-01,1367.1,12767.286,2.28,816763.0,7776939.0,9.338955453149001
2005-02,1371.1,12819.076000000001,2.5,805705.0,7796791.333333333,9.34948289694406
2005-03,1370.9,12870.866,2.63,802675.0,7816643.666666667,9.388624990881901
2005-04,1358.4,12922.656,2.79,798095.0,7836496.0,9.513144876325088
2005-05,1366.0,12995.984666666667,3.0,803447.0,7868567.333333333,9.513897999023914
2005-06,1380.1,13069.313333333334,3.04,818300.0,7900638.666666667,9.469830688597446
2005-07,1369.0,13142.642,3.26,822944.0,7932710.0,9.60017677136596
2005-08,1377.8,13203.162666666667,3.5,819529.0,8011944.333333333,9.582786084095419
2005-09,1378.6,13263.683333333332,3.62,824448.0,8091178.666666667,9.621125296194206
